ID,Source,Target,Type,Label,Weight,TimeInterval,Edgecol
1150,965,966,Directed,,0.006862966,"[2010,2024)",NULL
1151,965,967,Directed,,0.008278546,"[2011,2024)",NULL
1152,966,968,Directed,,0.004175657,"[2011,2024)",NULL
1153,965,969,Directed,,0.005997126,"[2012,2024)",NULL
1154,966,970,Directed,,0.003543119,"[2012,2016)",NULL
1155,967,971,Directed,,0.003262003,"[2012,2012)",NULL
1156,965,972,Directed,,0.005479525,"[2013,2024)",NULL
1157,968,973,Directed,,0.007976534,"[2013,2014)",NULL
1158,969,974,Directed,,0.00699377,"[2013,2024)",NULL
1159,971,975,Directed,,0.003244291,"[2013,2024)",NULL
1160,970,976,Directed,,0.006927323,"[2013,2024)",NULL
1161,966,977,Directed,,0.006009672,"[2013,2024)",NULL
1162,967,978,Directed,,0.001651265,"[2013,2024)",NULL
1163,970,979,Directed,,0.001625962,"[2013,2014)",NULL
1164,969,980,Directed,,0.036091084,"[2014,2024)",NULL
1165,972,981,Directed,,0.030013198,"[2014,2024)",NULL
1166,972,982,Directed,,0.029229389,"[2014,2024)",NULL
1167,965,983,Directed,,0.006050174,"[2014,2024)",NULL
1168,967,984,Directed,,4.42E-04,"[2014,2014)",NULL
1169,974,985,Directed,,0.004343098,"[2014,2018)",NULL
1170,966,986,Directed,,0.001278582,"[2014,2024)",NULL
1171,982,987,Directed,,0.004541847,"[2015,2024)",NULL
1172,978,988,Directed,,0.0057271,"[2015,2017)",NULL
1173,979,989,Directed,,0.017250791,"[2015,2024)",NULL
1174,979,990,Directed,,0.013736877,"[2015,2024)",NULL
1175,970,991,Directed,,0.011393495,"[2015,2024)",NULL
1176,968,992,Directed,,0.004411588,"[2015,2024)",NULL
1177,977,993,Directed,,0.002240846,"[2015,2017)",NULL
1178,985,994,Directed,,0.009925888,"[2015,2024)",NULL
1179,967,995,Directed,,0.006569869,"[2015,2024)",NULL
1180,983,996,Directed,,0.020221631,"[2015,2024)",NULL
1181,977,997,Directed,,0.002322024,"[2015,2024)",NULL
1182,966,998,Directed,,0.00297539,"[2015,2024)",NULL
1183,980,999,Directed,,0.008907331,"[2015,2018)",NULL
1184,965,1000,Directed,,5.68E-04,"[2015,2016)",NULL
1185,997,1001,Directed,,0.003279953,"[2016,2024)",NULL
1186,989,1002,Directed,,0.004592952,"[2016,2018)",NULL
1187,988,1003,Directed,,0.005690026,"[2016,2024)",NULL
