ID,RecordID_N,Label,,,Records,TimeInterval,Extra
965,13957,SARS CoV [2009],SARS CoV [2009],1,0.612551011,"[2009.0,2024.0)",NULL
966,13959,viral infection [2010],viral infection [2010],1,0.769774635,"[2010.0,2024.0)",NULL
967,13962,infectious diseases [2011],infectious diseases [2011],1,0.77849538,"[2011.0,2024.0)",NULL
968,13963,Central Nervous System [2011],Central Nervous System [2011],1,0.358149851,"[2011.0,2024.0)",NULL
969,13964,respiratory viruses [2012],respiratory viruses [2012],1,0.478344362,"[2012.0,2024.0)",NULL
970,13969,IFN alpha [2012],IFN alpha [2012],1,0.226906468,"[2012.0,2016.0)",NULL
971,13970,developing countries [2012],developing countries [2012],1,0.01213798,"[2012.0,2012.0)",NULL
972,13974,phylogenetic analysis [2013],phylogenetic analysis [2013],1,0.331715714,"[2013.0,2024.0)",NULL
973,13975,T cells [2013],T cells [2013],1,0.199418653,"[2013.0,2014.0)",NULL
974,13977,respiratory symptoms [2013],respiratory symptoms [2013],1,0.739207143,"[2013.0,2024.0)",NULL
975,13978,MERS CoV [2013],MERS CoV [2013],1,0.715209942,"[2013.0,2024.0)",NULL
976,13980,viral replication [2013],viral replication [2013],1,0.475784552,"[2013.0,2024.0)",NULL
977,13981,viral pathogenesis [2013],viral pathogenesis [2013],1,0.177723001,"[2013.0,2024.0)",NULL
978,13982,global health [2013],global health [2013],1,0.138522165,"[2013.0,2024.0)",NULL
979,13983,systemic infection [2013],systemic infection [2013],1,0.010084128,"[2013.0,2014.0)",NULL
980,13985,respiratory infections [2014],respiratory infections [2014],1,0.290021138,"[2014.0,2024.0)",NULL
981,13991,porcine epidemic diarrhea virus [2014],porcine epidemic diarrhea virus [2014],1,0.270612223,"[2014.0,2024.0)",NULL
982,13992,epidemiology [2014],epidemiology [2014],1,0.848544178,"[2014.0,2024.0)",NULL
983,13993,HIV [2014],HIV [2014],1,0.488608137,"[2014.0,2024.0)",NULL
984,13997,respiratory medicine [2014],respiratory medicine [2014],1,3.61E-04,"[2014.0,2014.0)",NULL
985,14000,acute respiratory distress syndrome [2014],acute respiratory distress syndrome [2014],1,0.081659578,"[2014.0,2018.0)",NULL
986,14004,allergic reactions [2014],allergic reactions [2014],1,0.196868375,"[2014.0,2024.0)",NULL
987,14006,infectious bronchitis virus [2015],infectious bronchitis virus [2015],1,0.278498198,"[2015.0,2024.0)",NULL
988,14015,human infection [2015],human infection [2015],1,0.12527956,"[2015.0,2017.0)",NULL
989,14016,cell culture [2015],cell culture [2015],1,0.166799662,"[2015.0,2024.0)",NULL
990,14017,feline infectious peritonitis [2015],feline infectious peritonitis [2015],1,0.129311966,"[2015.0,2024.0)",NULL
991,14021,immune response [2015],immune response [2015],1,0.573901846,"[2015.0,2024.0)",NULL
992,14022,gene expression [2015],gene expression [2015],1,0.35493,"[2015.0,2024.0)",NULL
993,14024,Ebola virus disease [2015],Ebola virus disease [2015],1,0.120459645,"[2015.0,2017.0)",NULL
994,14026,case report [2015],case report [2015],1,0.516441227,"[2015.0,2024.0)",NULL
995,14027,fever [2015],fever [2015],1,0.719830704,"[2015.0,2024.0)",NULL
996,14028,public health [2015],public health [2015],1,0.643460062,"[2015.0,2024.0)",NULL
997,14029,broad spectrum [2015],broad spectrum [2015],1,0.363510965,"[2015.0,2024.0)",NULL
998,14030,host response [2015],host response [2015],1,0.148090688,"[2015.0,2024.0)",NULL
999,14031,respiratory pathogens [2015],respiratory pathogens [2015],1,0.100270689,"[2015.0,2018.0)",NULL
1000,14032,human vaccine [2015],human vaccine [2015],1,0.003274712,"[2015.0,2016.0)",NULL
1001,14038,RNA viruses [2016],RNA viruses [2016],1,0.212633186,"[2016.0,2024.0)",NULL
1002,14040,viral proteins [2016],viral proteins [2016],1,0.141818351,"[2016.0,2018.0)",NULL
1003,14043,West Africa [2016],West Africa [2016],1,0.190565579,"[2016.0,2024.0)",NULL
1004,14049,innate immunity [2016],innate immunity [2016],1,0.152740788,"[2016.0,2018.0)",NULL
1005,14050,respiratory syncytial virus [2016],respiratory syncytial virus [2016],1,0.30544042,"[2016.0,2024.0)",NULL
1006,14051,disease control [2016],disease control [2016],1,0.285193687,"[2016.0,2024.0)",NULL
1007,14057,United States [2016],United States [2016],1,0.762988016,"[2016.0,2024.0)",NULL
1008,14059,respiratory disease [2016],respiratory disease [2016],1,0.054249561,"[2016.0,2016.0)",NULL
