Source,Target,Type,Label,Weight,TimeInterval
274,275,Directed,,0.015667035,"[2009,2019)"
274,276,Directed,,0.011678,"[2010,2019)"
275,277,Directed,,0.017785072,"[2010,2019)"
274,278,Directed,,0.005010414,"[2011,2019)"
277,279,Directed,,0.020453775,"[2011,2019)"
277,280,Directed,,0.036586453,"[2011,2019)"
276,281,Directed,,0.020728929,"[2011,2019)"
275,282,Directed,,0.009880668,"[2011,2014)"
278,283,Directed,,0.004534035,"[2012,2019)"
279,284,Directed,,0.052126262,"[2012,2019)"
275,285,Directed,,0.038898884,"[2012,2019)"
280,286,Directed,,0.015153478,"[2012,2019)"
274,287,Directed,,0.00560134,"[2012,2015)"
276,288,Directed,,0.031183962,"[2012,2019)"
281,289,Directed,,0.018885571,"[2012,2019)"
282,290,Directed,,0.009713412,"[2013,2019)"
279,291,Directed,,0.038627919,"[2013,2019)"
277,292,Directed,,0.010228967,"[2013,2019)"
286,293,Directed,,0.02193891,"[2013,2019)"
283,294,Directed,,0.007931328,"[2013,2019)"
276,295,Directed,,0.046649383,"[2013,2019)"
281,296,Directed,,0.047939741,"[2013,2019)"
284,297,Directed,,0.009463066,"[2013,2019)"
274,298,Directed,,0.027249487,"[2013,2015)"
275,299,Directed,,0.003233202,"[2013,2016)"
285,300,Directed,,0.002229176,"[2013,2016)"
292,301,Directed,,0.011350828,"[2014,2019)"
290,302,Directed,,0.008802495,"[2014,2019)"
296,303,Directed,,0.010822522,"[2014,2016)"
278,304,Directed,,0.01473889,"[2014,2019)"
283,305,Directed,,0.005454435,"[2014,2019)"
290,306,Directed,,0.023149571,"[2014,2019)"
295,307,Directed,,0.014659781,"[2014,2019)"
282,308,Directed,,0.026411428,"[2014,2019)"
291,309,Directed,,0.006430259,"[2014,2019)"
294,310,Directed,,0.023622781,"[2014,2019)"
285,311,Directed,,0.029422275,"[2014,2019)"
284,312,Directed,,0.005561644,"[2014,2019)"
294,313,Directed,,0.045657467,"[2014,2019)"
288,314,Directed,,0.002825892,"[2014,2017)"
282,315,Directed,,0.007960528,"[2014,2016)"
279,316,Directed,,0.004824581,"[2014,2016)"
287,317,Directed,,0.005899532,"[2014,2016)"
306,318,Directed,,0.045494824,"[2015,2019)"
302,319,Directed,,0.008820934,"[2015,2019)"
305,320,Directed,,0.00910751,"[2015,2019)"
