ID,Label,Records,TimeInterval
274,cardiovascular disease (CVD),0.553511932,"[2008.0,2019.0)"
275,myocardial infarction (MI),1.318985855,"[2009.0,2019.0)"
276,heart failure (HF),1.218759292,"[2010.0,2019.0)"
277,risk factors,1.244010672,"[2010.0,2019.0)"
278,Multiple myeloma (MM),1.105804468,"[2011.0,2019.0)"
279,type 2 diabetes (T2D),1.311569079,"[2011.0,2019.0)"
280,coronary artery disease (CAD),1.229147148,"[2011.0,2019.0)"
281,gene expression,1.395795689,"[2011.0,2019.0)"
282,cardiac magnetic resonance imaging,0.275888327,"[2011.0,2014.0)"
283,blood pressure (BP),1.052251755,"[2012.0,2019.0)"
284,insulin resistance (HOMA-IR),1.137433756,"[2012.0,2019.0)"
285,acute myocardial infarction (AMI),1.090408825,"[2012.0,2019.0)"
286,single nucleotide polymorphisms (SNPs),1.023655516,"[2012.0,2019.0)"
287,arachidonic acid,0.343664885,"[2012.0,2015.0)"
288,cardiac hypertrophy (CH),0.997108215,"[2012.0,2019.0)"
289,microRNAs (miRNAs),1.172673938,"[2012.0,2019.0)"
290,sudden death,0.570290983,"[2013.0,2019.0)"
291,diabetic retinopathy (DR),0.8426953,"[2013.0,2019.0)"
292,genetic factors,1.111118585,"[2013.0,2019.0)"
293,coronary heart disease (CHD),1.132375338,"[2013.0,2019.0)"
294,endothelial cells (ECs),1.274856609,"[2013.0,2019.0)"
295,dilated cardiomyopathy (DCM),1.013466513,"[2013.0,2019.0)"
296,DNA methylation,0.86669111,"[2013.0,2019.0)"
297,metabolic diseases,0.818491249,"[2013.0,2019.0)"
298,respiratory diseases,0.069022015,"[2013.0,2015.0)"
299,genetic information,0.219460457,"[2013.0,2016.0)"
300,tissue levels,0.163845866,"[2013.0,2016.0)"
301,diabetes mellitus (DM),1.137330518,"[2014.0,2019.0)"
302,prenatal diagnosis,0.695985066,"[2014.0,2019.0)"
303,epigenetic mechanisms,0.421249303,"[2014.0,2016.0)"
304,oxidative stress (OS),1.344263161,"[2014.0,2019.0)"
305,protective effect,1.400480405,"[2014.0,2019.0)"
306,sudden cardiac death (SCD),0.753050275,"[2014.0,2019.0)"
307,heart disease,0.946720963,"[2014.0,2019.0)"
308,hypertrophic cardiomyopathy (HCM),0.770904977,"[2014.0,2019.0)"
309,genome-wide association studies (GWAS),0.49540629,"[2014.0,2019.0)"
310,Ischemic stroke (IS),1.207148395,"[2014.0,2019.0)"
311,cardiac function,1.031192932,"[2014.0,2019.0)"
312,cardiovascular system,0.956369149,"[2014.0,2019.0)"
313,mouse model,1.276556636,"[2014.0,2019.0)"
314,heart development,0.142355137,"[2014.0,2017.0)"
315,aortic dissection,0.147887303,"[2014.0,2016.0)"
316,bipolar disorder,0.056841659,"[2014.0,2016.0)"
317,intraperitoneal injection,0.242402815,"[2014.0,2016.0)"
318,genetic testing,0.714600055,"[2015.0,2019.0)"
319,Turner syndrome (TS),0.312769599,"[2015.0,2019.0)"
320,underlying molecular mechanisms,1.382471502,"[2015.0,2019.0)"
321,adverse effects,0.582448492,"[2015.0,2017.0)"
322,trisomy 18,0.889571588,"[2015.0,2017.0)"
323,cerebral ischemia,0.659880034,"[2015.0,2019.0)"
324,fabry disease (FD),0.705991313,"[2015.0,2019.0)"
325,acute coronary syndrome (ACS),0.797089299,"[2015.0,2018.0)"
326,metabolic syndrome (MetS),0.924837902,"[2015.0,2019.0)"
327,skeletal muscle,0.723258839,"[2015.0,2019.0)"
328,epigenetic Regulation,0.40837537,"[2015.0,2019.0)"
329,genetic polymorphisms,0.458364657,"[2015.0,2016.0)"
330,body mass index (BMI),0.854496351,"[2015.0,2019.0)"
331,cardiovascular disease (CVD) risk factors,1.033697264,"[2015.0,2019.0)"
332,stem cells,0.707153448,"[2015.0,2019.0)"
333,Anti-Inflammatory Activity,0.352377929,"[2015.0,2016.0)"
334,signaling pathways,0.410560106,"[2015.0,2018.0)"
